chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM,abundance,
XII,732541,733876,YLR303W,0,+,58,1335,1335,5.808608032,not_preferential,
IX,261436,264892,YIL048W,0,+,150,3332,3456,5.802870362,not_preferential,
XVI,681212,682112,YPR066W,0,+,39,857,900,5.79358577,not_preferential,
XV,762824,766565,YOR227W,0,+,162,3336,3741,5.789654523,not_preferential,
VII,303512,303836,YGL109W,0,+,14,324,324,5.777079827,not_preferential,
XIII,696795,698370,YMR215W,0,+,68,1451,1575,5.772363844,not_preferential,
VII,108157,110404,YGL205W,0,+,97,2216,2247,5.771570501,not_preferential,
XV,153911,154745,YOL088C,0,-,36,834,834,5.771142438,not_preferential,
X,529860,531366,YJR051W,0,+,65,1506,1506,5.770503755,not_preferential,
XVI,304386,305058,YPL130W,0,+,29,672,672,5.769711103,not_preferential,
XV,142814,143696,YOL093W,0,+,38,874,882,5.760237029,not_preferential,
VIII,459298,461530,YHR178W,0,+,96,2209,2232,5.75045734,not_preferential,
VII,954673,958210,YGR233C,0,-,152,2933,3537,5.745579937,not_preferential,
XIII,532118,533027,YMR130W,0,+,39,886,909,5.736223534,not_preferential,
XIII,794918,795524,YMR263W,0,+,26,593,606,5.736223534,not_preferential,
II,284427,287925,YBR023C,0,-,150,3498,3498,5.733196104,not_preferential,
IV,723003,727551,YDR135C,0,-,195,4508,4548,5.732439746,not_preferential,
IX,304476,307929,YIL026C,0,-,148,3439,3453,5.730473126,not_preferential,
IV,887231,888911,YDR212W,0,+,72,1680,1680,5.729919992,not_preferential,
III,92776,94270,YCL017C,0,-,64,717,1494,5.727363133,not_preferential,
IV,286997,287324,YDL096C,0,-,14,327,327,5.724079095,not_preferential,
I,38695,39046,YAL056C-A,0,-,15,351,351,5.713595434,not_preferential,
IV,1469694,1469811,YDR510C-A,0,-,5,71,117,5.713595434,not_preferential,
XII,673827,673944,YLR264C-A,0,-,5,117,117,5.713595434,not_preferential,
XV,981811,982162,YOR345C,0,-,15,351,351,5.713595434,not_preferential,
XII,180287,181481,YLR019W,0,+,51,1194,1194,5.71072428,not_preferential,
XII,836349,837357,YLR354C,0,-,43,1008,1008,5.703392585,not_preferential,
XIII,332211,334743,YMR031C,0,-,108,2462,2532,5.702763973,not_preferential,
II,513043,513583,YBR137W,0,+,23,540,540,5.694550115,not_preferential,
XIII,229733,230813,YML021C,0,-,46,1068,1080,5.694550115,not_preferential,
XVI,243205,244027,YPL162C,0,-,35,822,822,5.692742896,not_preferential,
VII,303648,304071,YGL108C,0,-,18,423,423,5.689282262,not_preferential,
I,76426,79435,YAL035W,0,+,128,2956,3009,5.687391506,not_preferential,
XV,761613,762084,YOR226C,0,-,20,442,471,5.677203106,not_preferential,
XI,478337,478832,YKR020W,0,+,21,495,495,5.672042012,not_preferential,
XV,720180,720510,YOR199W,0,+,14,330,330,5.672042012,not_preferential,
V,285240,286914,YER065C,0,-,71,1674,1674,5.670589877,not_preferential,
VII,1025003,1025735,YGR267C,0,-,31,732,732,5.662079409,not_preferential,
XVI,733622,736433,YPR104C,0,-,119,2704,2811,5.659935199,not_preferential,
XIV,609132,609510,YNL013C,0,-,16,378,378,5.659180239,not_preferential,
XII,99043,100201,YLL022C,0,-,49,1158,1158,5.657347603,not_preferential,
X,387656,388247,YJL030W,0,+,25,591,591,5.655589389,not_preferential,
IX,373076,374306,YIR008C,0,-,52,1230,1230,5.6522788,not_preferential,
XV,981827,984785,YOR346W,0,+,125,2936,2958,5.649853497,not_preferential,
II,69712,70138,YBL083C,0,-,18,388,426,5.649216894,not_preferential,
XVI,753300,754248,YPR114W,0,+,40,948,948,5.641271441,not_preferential,
XIII,690694,693043,YMR212C,0,-,99,2349,2349,5.634787221,not_preferential,
IX,430497,432111,YIR039C,0,-,68,1351,1614,5.632882933,not_preferential,
IV,1246083,1247982,YDR386W,0,+,80,1899,1899,5.63235948,not_preferential,
II,164487,164772,YBL029C-A,0,-,12,285,285,5.62939508,not_preferential,
XV,505793,506767,YOR096W,0,+,41,974,974,5.627950163,not_preferential,
VII,620920,621799,YGR066C,0,-,37,879,879,5.627794,not_preferential,
X,438864,440646,YJR002W,0,+,75,1782,1782,5.627025806,not_preferential,
XVI,76668,79353,YPL249C,0,-,113,2355,2685,5.626774319,not_preferential,
X,460381,461593,YJR013W,0,+,51,1212,1212,5.625911543,not_preferential,
XII,873745,874792,YLR377C,0,-,44,1047,1047,5.618641699,not_preferential,
I,13362,13743,YAL064C-A,0,-,16,381,381,5.614619765,not_preferential,
I,134183,135665,YAL010C,0,-,62,1329,1482,5.593309214,not_preferential,
VII,947419,948997,YGR227W,0,+,66,1578,1578,5.591937128,not_preferential,
XI,273393,275043,YKL089W,0,+,69,1650,1650,5.591012841,not_preferential,
IX,345691,347797,YIL005W,0,+,88,2106,2106,5.586626646,not_preferential,
VIII,251100,252225,YHR076W,0,+,47,1125,1125,5.585610896,not_preferential,
XVI,164275,165760,YPL204W,0,+,62,1451,1485,5.582009599,not_preferential,
II,209408,209648,YBL008W-A,0,+,10,240,240,5.570755548,not_preferential,
VIII,175274,175394,YHR032C-A,0,-,5,120,120,5.570755548,not_preferential,
IX,33717,34077,YIL165C,0,-,15,360,360,5.570755548,not_preferential,
X,456238,457774,YJR010W,0,+,64,1520,1536,5.570755548,not_preferential,
X,575353,576601,YJR076C,0,-,52,1236,1248,5.570755548,not_preferential,
XIII,607827,608211,YMR172C-A,0,-,16,384,384,5.570755548,not_preferential,
XV,254925,255021,YOL038C-A,0,-,4,96,96,5.570755548,not_preferential,
VII,601660,604447,YGR056W,0,+,116,2787,2787,5.56475904,not_preferential,
IV,1303173,1305072,YDR419W,0,+,79,1899,1899,5.561954986,not_preferential,
IV,156317,157904,YDL170W,0,+,66,1555,1587,5.560224819,not_preferential,
XVI,706971,708342,YPR084W,0,+,57,1371,1371,5.558565711,not_preferential,
VI,76830,77988,YFL030W,0,+,48,1158,1158,5.541891529,not_preferential,
IV,216157,217074,YDL137W,0,+,38,914,917,5.540380654,not_preferential,
XVI,291365,292427,YPL138C,0,-,44,1062,1062,5.539282353,not_preferential,
IX,238098,240708,YIL066C,0,-,108,2486,2610,5.532336544,not_preferential,
II,673154,673565,YBR226C,0,-,17,411,411,5.530093099,not_preferential,
XIV,716779,718327,YNR051C,0,-,64,1548,1548,5.527571396,not_preferential,
XVI,749255,751919,YPR112C,0,-,110,2539,2664,5.520568561,not_preferential,
X,422697,423012,YJL007C,0,-,13,315,315,5.517700733,not_preferential,
II,75258,79767,YBL079W,0,+,186,4239,4509,5.515159185,not_preferential,
IX,235723,237760,YIL067C,0,-,84,2037,2037,5.513325078,not_preferential,
XIV,579579,581616,YNL027W,0,+,84,2037,2037,5.513325078,not_preferential,
XIV,486765,488124,YNL074C,0,-,56,1334,1359,5.50926818,not_preferential,
VIII,117813,119439,YHR006W,0,+,67,1618,1626,5.509086667,not_preferential,
II,86721,87789,YBL074C,0,-,44,1068,1068,5.508162789,not_preferential,
XV,405767,406544,YOR039W,0,+,32,777,777,5.506229422,not_preferential,
XI,306210,306720,YKL070W,0,+,21,510,510,5.505217247,not_preferential,
XI,592824,596298,YKR082W,0,+,143,3472,3474,5.503406172,not_preferential,
VII,1031790,1037694,YGR271W,0,+,243,5115,5904,5.502819504,not_preferential,
X,184500,185424,YJL126W,0,+,38,924,924,5.498408073,not_preferential,
XII,178706,179606,YLR018C,0,-,37,876,900,5.496478807,not_preferential,
X,573094,573751,YJR074W,0,+,27,657,657,5.494443828,not_preferential,
XV,826384,827869,YOR269W,0,+,61,1485,1485,5.491977186,not_preferential,
XI,3502,5620,YKL222C,0,-,87,2060,2118,5.491849662,not_preferential,
XIII,632354,634472,YMR186W,0,+,87,2118,2118,5.491849662,not_preferential,
XII,669467,669662,YLR262C-A,0,-,8,195,195,5.485051616,not_preferential,
XIII,611313,611508,YMR175W-A,0,+,8,195,195,5.485051616,not_preferential,
XVI,237955,239077,YPL165C,0,-,46,1122,1122,5.481385138,not_preferential,
XV,848477,849209,YOR284W,0,+,30,715,732,5.479431686,not_preferential,
II,184352,185915,YBL019W,0,+,64,1563,1563,5.474523686,not_preferential,
XVI,246989,250262,YPL160W,0,+,134,3156,3273,5.47373964,not_preferential,
XIV,144279,145281,YNL265C,0,-,41,1002,1002,5.470682095,not_preferential,
XII,122074,124714,YLL013C,0,-,108,2601,2640,5.469469083,not_preferential,
IV,1017000,1017318,YDR278C,0,-,13,318,318,5.465646953,not_preferential,
VII,293459,295637,YGL114W,0,+,89,2178,2178,5.46333051,not_preferential,
XV,602716,605092,YOR144C,0,-,97,2376,2376,5.458215032,not_preferential,
XV,828051,830574,YOR270C,0,-,103,2439,2523,5.458148123,not_preferential,
XV,612996,616671,YOR151C,0,-,150,3317,3675,5.457066659,not_preferential,
XI,483418,485011,YKR023W,0,+,65,1593,1593,5.455353832,not_preferential,
VIII,378218,379199,YHR139C,0,-,40,981,981,5.4515039,not_preferential,
II,344601,347301,YBR055C,0,-,110,2674,2700,5.44696098,not_preferential,
I,87285,87752,YAL030W,0,+,19,467,467,5.439538608,not_preferential,
IV,678240,679764,YDR111C,0,-,62,1524,1524,5.439162897,not_preferential,
VII,307436,308567,YGL105W,0,+,46,1131,1131,5.437766689,not_preferential,
XVI,296285,296654,YPL136W,0,+,15,369,369,5.434883461,not_preferential,
V,402374,402719,YER121W,0,+,14,345,345,5.42543149,not_preferential,
XII,549011,549356,YLR200W,0,+,14,345,345,5.42543149,not_preferential,
VII,851046,853215,YGR178C,0,-,88,2116,2169,5.424359482,not_preferential,
XIV,61957,62943,YNL302C,0,-,40,986,986,5.423859357,not_preferential,
XV,652009,653884,YOR171C,0,-,76,1865,1875,5.419230997,not_preferential,
IV,796192,802222,YDR170C,0,-,244,5996,6030,5.410007378,not_preferential,
XI,394725,397248,YKL022C,0,-,102,2502,2523,5.405156394,not_preferential,
XIV,219136,220201,YNL229C,0,-,43,1065,1065,5.398140587,not_preferential,
XIII,388358,388730,YMR057C,0,-,15,372,372,5.391053756,not_preferential,
IV,1344516,1345062,YDR441C,0,-,22,546,546,5.387104266,not_preferential,
II,724455,726540,YBR255W,0,+,84,1685,2085,5.386399609,not_preferential,
XII,131728,133987,YLL008W,0,+,91,2189,2259,5.385803504,not_preferential,
VII,210415,213667,YGL156W,0,+,131,3252,3252,5.385748906,not_preferential,
VIII,349573,352453,YHR120W,0,+,116,2840,2880,5.385063696,not_preferential,
XII,77151,80205,YLL031C,0,-,123,2970,3054,5.384698879,not_preferential,
V,324271,325936,YER082C,0,-,67,1665,1665,5.380044997,not_preferential,
XV,44937,45633,YOL149W,0,+,28,285,696,5.378660529,not_preferential,
XVI,599869,600217,YPR020W,0,+,14,348,348,5.378660529,not_preferential,
IV,456835,458103,YDR005C,0,-,51,1268,1268,5.377448573,not_preferential,
IX,287789,288908,YIL035C,0,-,45,1012,1119,5.376600529,not_preferential,
X,663999,665019,YJR129C,0,-,41,1020,1020,5.374140646,not_preferential,
XIII,137549,138944,YML068W,0,+,56,1395,1395,5.367093517,not_preferential,
V,271767,272091,YER058W,0,+,13,324,324,5.364431268,not_preferential,
XIII,634688,635984,YMR187C,0,-,52,1296,1296,5.364431268,not_preferential,
XV,636938,638558,YOR161C,0,-,65,1592,1620,5.364431268,not_preferential,
II,93638,95882,YBL067C,0,-,90,2244,2244,5.362224591,not_preferential,
IV,680495,681617,YDR113C,0,-,45,1094,1122,5.362224591,not_preferential,
VIII,470938,471412,YHR182C-A,0,-,19,474,474,5.359207869,not_preferential,
XIII,814363,815311,YMR274C,0,-,38,948,948,5.359207869,not_preferential,
XIII,563095,564193,YMR152W,0,+,44,1070,1098,5.357666538,not_preferential,
IV,1257357,1258056,YDR391C,0,-,28,699,699,5.355576149,not_preferential,
XI,661441,663289,YKR106W,0,+,74,1840,1848,5.353713124,not_preferential,
XVI,725393,728615,YPR097W,0,+,129,3079,3222,5.352904772,not_preferential,
II,365975,366600,YBR062C,0,-,25,625,625,5.347925326,not_preferential,
II,458607,458832,YBR109W-A,0,+,9,225,225,5.347925326,not_preferential,
IV,1398025,1398700,YDR468C,0,-,27,675,675,5.347925326,not_preferential,
VIII,423723,424473,YHR163W,0,+,30,750,750,5.347925326,not_preferential,
XVI,465961,466261,YPL047W,0,+,12,300,300,5.347925326,not_preferential,
X,654736,655963,YJR125C,0,-,49,1227,1227,5.339208251,not_preferential,
II,339674,340751,YBR053C,0,-,43,966,1077,5.337994174,not_preferential,
I,71785,73288,YAL038W,0,+,60,1503,1503,5.337250824,not_preferential,
IV,458541,461247,YDR006C,0,-,108,2298,2706,5.336067398,not_preferential,
IV,1421156,1422485,YDR483W,0,+,53,1329,1329,5.331829238,not_preferential,
XV,389770,391075,YOR032C,0,-,52,1162,1305,5.327435191,not_preferential,
XV,197219,198725,YOL070C,0,-,60,1492,1506,5.32661885,not_preferential,
XV,960986,965981,YOR341W,0,+,199,4167,4995,5.326512211,not_preferential,
VII,911882,912812,YGR208W,0,+,37,855,930,5.319173039,not_preferential,
VII,379759,381271,YGL065C,0,-,60,1475,1512,5.305481474,not_preferential,
X,82094,82976,YJL185C,0,-,35,882,882,5.305481474,not_preferential,
XI,212494,212998,YKL122C,0,-,20,504,504,5.305481474,not_preferential,
XI,334411,334915,YKL056C,0,-,20,504,504,5.305481474,not_preferential,
XII,347046,348180,YLR105C,0,-,45,1134,1134,5.305481474,not_preferential,
I,75042,76152,YAL036C,0,-,44,1110,1110,5.299745818,not_preferential,
II,760293,760899,YBR278W,0,+,24,577,606,5.29497557,not_preferential,
IV,148606,149086,YDL172C,0,-,19,115,480,5.29221777,not_preferential,
XII,384724,385408,YLR118C,0,-,27,684,684,5.277557887,not_preferential,
XIII,165532,167308,YML054C,0,-,70,1776,1776,5.269633626,not_preferential,
XI,212042,212423,YKL123W,0,+,15,377,381,5.263706029,not_preferential,
XVI,711402,713028,YPR088C,0,-,64,1626,1626,5.262411145,not_preferential,
X,265925,268415,YJL089W,0,+,98,1836,2490,5.262014879,not_preferential,
XV,1028193,1028625,YOR369C,0,-,17,404,432,5.261269128,not_preferential,
XV,228613,229834,YOL054W,0,+,48,1181,1221,5.255946266,not_preferential,
IV,884726,886865,YDR211W,0,+,84,2098,2139,5.250417571,not_preferential,
XII,88622,91349,YLL026W,0,+,107,2434,2727,5.245948019,not_preferential,
IV,704483,709250,YDR127W,0,+,187,4703,4767,5.244713845,not_preferential,
VII,508109,508364,YGR008C,0,-,10,255,255,5.243064045,not_preferential,
IX,291960,292317,YIL032C,0,-,14,357,357,5.243064045,not_preferential,
IX,231552,232369,YIL069C,0,-,32,817,817,5.236646586,not_preferential,
VII,725048,726479,YGR117C,0,-,56,1288,1431,5.232072296,not_preferential,
XIV,205187,206567,YNL237W,0,+,54,1380,1380,5.23166608,not_preferential,
V,484787,487193,YER157W,0,+,94,2406,2406,5.223451586,not_preferential,
III,259577,259961,YCR083W,0,+,15,373,384,5.222583326,not_preferential,
X,503101,503485,YJR037W,0,+,15,384,384,5.222583326,not_preferential,
XVI,708496,709828,YPR085C,0,-,52,1332,1332,5.219446639,not_preferential,
V,462584,462866,YER146W,0,+,11,282,282,5.215175406,not_preferential,
I,72325,73300,YAL037C-B,0,-,38,975,975,5.210799035,not_preferential,
VII,1079884,1080346,YGR293C,0,-,18,462,462,5.209018175,not_preferential,
XV,847452,848145,YOR283W,0,+,27,693,693,5.209018175,not_preferential,
II,182400,184125,YBL020W,0,+,67,1713,1725,5.192912998,not_preferential,
XII,568566,570627,YLR214W,0,+,80,1852,2061,5.189641267,not_preferential,
XVI,799233,802017,YPR135W,0,+,108,2651,2784,5.18656551,not_preferential,
V,327064,327451,YER084W,0,+,15,387,387,5.182098184,not_preferential,
VII,735629,735758,YGR122C-A,0,-,5,129,129,5.182098184,not_preferential,
XII,302242,306499,YLR086W,0,+,165,4191,4257,5.182098184,not_preferential,
XIII,426711,429627,YMR080C,0,-,113,2426,2916,5.181031909,not_preferential,
XIV,483555,485310,YNL076W,0,+,68,1755,1755,5.180326526,not_preferential,
V,390589,393712,YER114C,0,-,121,2752,3123,5.180106984,not_preferential,
XI,17358,18339,YKL218C,0,-,38,950,981,5.178928705,not_preferential,
XV,519120,519972,YOR106W,0,+,33,239,852,5.178448819,not_preferential,
XI,571611,573393,YKR069W,0,+,69,1281,1782,5.176863741,not_preferential,
XIII,387314,388244,YMR056C,0,-,36,930,930,5.175411606,not_preferential,
II,343100,344135,YBR054W,0,+,40,1035,1035,5.16707761,not_preferential,
XIII,610158,610365,YMR174C,0,-,8,200,207,5.16707761,not_preferential,
IX,316767,317932,YIL018W,0,+,45,1165,1165,5.164305572,not_preferential,
XV,611998,612490,YOR150W,0,+,19,474,492,5.163139288,not_preferential,
XVI,819764,821423,YPR144C,0,-,64,1548,1659,5.157733889,not_preferential,
X,613185,615156,YJR098C,0,-,76,1965,1971,5.155280629,not_preferential,
III,240102,240543,YCR071C,0,-,17,437,441,5.153896289,not_preferential,
X,251820,254442,YJL094C,0,-,101,2622,2622,5.150080644,not_preferential,
X,627339,628326,YJR107W,0,+,38,987,987,5.147445856,not_preferential,
II,69750,71127,YBL082C,0,-,53,1339,1377,5.145970266,not_preferential,
IV,1005674,1008689,YDR270W,0,+,116,2723,3015,5.143941441,not_preferential,
IV,535191,538467,YDR040C,0,-,126,3276,3276,5.14223589,not_preferential,
VII,141915,142227,YGL193C,0,-,12,312,312,5.14223589,not_preferential,
XV,559029,559731,YOR125C,0,-,27,459,702,5.14223589,not_preferential,
XIV,295959,297627,YNL182C,0,-,64,1651,1668,5.129904389,not_preferential,
XVI,162631,163597,YPL206C,0,-,37,966,966,5.120942988,not_preferential,
II,695106,697302,YBR238C,0,-,84,2196,2196,5.114136241,not_preferential,
XVI,363519,364068,YPL099C,0,-,21,536,549,5.114136241,not_preferential,
IV,1382318,1383443,YDR459C,0,-,43,1125,1125,5.110239756,not_preferential,
IV,1254936,1256847,YDR390C,0,-,73,1911,1911,5.107254694,not_preferential,
XVI,567268,568996,YPR006C,0,-,66,1530,1728,5.106525919,not_preferential,
XII,547852,548769,YLR199C,0,-,35,917,917,5.102982181,not_preferential,
XV,995017,996511,YOR351C,0,-,57,1488,1494,5.100932791,not_preferential,
VI,38842,40180,YFL048C,0,-,51,1338,1338,5.096117183,not_preferential,
II,360651,362514,YBR060C,0,-,71,1834,1863,5.095312643,not_preferential,
IV,405409,405514,YDL025W-A,0,+,4,105,105,5.093262215,not_preferential,
V,86178,86598,YEL033W,0,+,16,259,420,5.093262215,not_preferential,
X,101149,101779,YJL170C,0,-,24,630,630,5.093262215,not_preferential,
X,445922,448025,YJR005W,0,+,80,2086,2103,5.085996506,not_preferential,
XIII,233456,234455,YML019W,0,+,38,999,999,5.085614674,not_preferential,
IX,364888,365335,YIR005W,0,+,17,245,447,5.084716473,not_preferential,
XIII,565998,568182,YMR154C,0,-,83,2113,2184,5.081018796,not_preferential,
X,89281,90097,YJL178C,0,-,31,816,816,5.079218294,not_preferential,
III,258414,258651,YCR081C-A,0,-,9,237,237,5.077144297,not_preferential,
XVI,337435,338620,YPL112C,0,-,45,1163,1185,5.077144297,not_preferential,
VIII,233578,234658,YHR069C,0,-,41,1059,1080,5.075577277,not_preferential,
XV,378218,379562,YOR025W,0,+,51,1256,1344,5.07336666,not_preferential,
IV,1189198,1189567,YDR357C,0,-,14,369,369,5.072557897,not_preferential,
IV,1199182,1200553,YDR363W,0,+,52,1321,1371,5.070972227,not_preferential,
XV,230084,231272,YOL053W,0,+,45,1181,1188,5.064323225,not_preferential,
II,347878,349384,YBR056W,0,+,57,1506,1506,5.060287908,not_preferential,
V,521028,522669,YER168C,0,-,62,1641,1641,5.05136152,not_preferential,
IV,218679,219288,YDL135C,0,-,23,581,609,5.049354782,not_preferential,
XV,647125,648502,YOR166C,0,-,52,1346,1377,5.048876488,not_preferential,
VII,405775,406597,YGL050W,0,+,31,822,822,5.042143707,not_preferential,
XII,440466,441288,YLR150W,0,+,31,822,822,5.042143707,not_preferential,
XVI,163921,164266,YPL205C,0,-,13,345,345,5.037900669,not_preferential,
X,315758,316475,YJL063C,0,-,27,717,717,5.034657734,not_preferential,
XIII,570299,571016,YMR156C,0,-,27,717,717,5.034657734,not_preferential,
I,124306,124492,YAL016C-B,0,-,7,186,186,5.031650172,not_preferential,
IV,1418549,1420250,YDR481C,0,-,64,1701,1701,5.030382435,not_preferential,
XIV,27336,28347,YNL326C,0,-,38,989,1011,5.025251295,not_preferential,
VI,44654,45560,YFL044C,0,-,34,873,906,5.017369235,not_preferential,
II,364786,365719,YBR061C,0,-,35,933,933,5.015471233,not_preferential,
XIII,611015,611255,YMR175W,0,+,9,240,240,5.013679993,not_preferential,
XVI,128631,129138,YPL223C,0,-,19,507,507,5.010383688,not_preferential,
X,725783,726824,YJR154W,0,+,39,1041,1041,5.008863778,not_preferential,
XIII,759806,761891,YMR246W,0,+,78,2028,2085,5.00165678,not_preferential,
XIII,190243,191767,YML043C,0,-,57,1398,1524,5.000520728,not_preferential,
IV,411760,412081,YDL023C,0,-,12,321,321,4.998061052,not_preferential,
XII,385533,386175,YLR119W,0,+,24,642,642,4.998061052,not_preferential,
XII,94746,95121,YLL025W,0,+,14,375,375,4.991396971,not_preferential,
XIII,510700,511075,YMR122C,0,-,14,375,375,4.991396971,not_preferential,
XVI,677811,678320,YPR063C,0,-,19,509,509,4.990696522,not_preferential,
XV,503551,504328,YOR095C,0,-,29,777,777,4.990020413,not_preferential,
VIII,45928,47968,YHL029C,0,-,76,2040,2040,4.980910843,not_preferential,
VIII,274173,276240,YHR084W,0,+,77,2067,2067,4.980530359,not_preferential,
IV,1354828,1355553,YDR447C,0,-,27,705,725,4.97910289,not_preferential,
XII,1053628,1054543,YLR455W,0,+,34,841,915,4.968018062,not_preferential,
XII,441714,442737,YLR151C,0,-,38,1000,1023,4.966304066,not_preferential,
V,399495,400842,YER119C,0,-,50,1347,1347,4.962811178,not_preferential,
X,647606,649142,YJR121W,0,+,57,1536,1536,4.96145416,not_preferential,
VII,618076,619858,YGR065C,0,-,66,1782,1782,4.951782709,not_preferential,
VII,882811,883810,YGR192C,0,-,37,999,999,4.951782709,not_preferential,
XIV,664269,664944,YNR018W,0,+,25,675,675,4.951782709,not_preferential,
XIV,692560,692857,YNR034W-A,0,+,11,272,297,4.951782709,not_preferential,
XVI,241917,242700,YPL163C,0,-,29,765,783,4.951782709,not_preferential,
XIV,119267,120998,YNL275W,0,+,64,1720,1731,4.943200763,not_preferential,
XVI,208156,209806,YPL179W,0,+,61,1628,1650,4.942779468,not_preferential,
VII,82877,84257,YGL219C,0,-,51,1370,1380,4.941017964,not_preferential,
XVI,695736,696819,YPR075C,0,-,40,1016,1083,4.93806586,not_preferential,
XIV,271522,272308,YNL195C,0,-,29,786,786,4.932882775,not_preferential,
II,386285,389216,YBR074W,0,+,108,2608,2931,4.926440935,not_preferential,
V,128824,130561,YEL013W,0,+,64,1732,1737,4.926125804,not_preferential,
VI,243073,244159,YFR046C,0,-,40,1041,1086,4.924424794,not_preferential,
XI,314811,315273,YKL067W,0,+,17,462,462,4.919628276,not_preferential,
II,773921,774356,YBR285W,0,+,16,435,435,4.917632484,not_preferential,
VIII,217405,217840,YHR056W-A,0,+,16,418,435,4.917632484,not_preferential,
IV,1154215,1155928,YDR342C,0,-,63,1519,1713,4.917094214,not_preferential,
V,102580,106147,YEL025C,0,-,131,3030,3567,4.910136093,not_preferential,
I,39258,41901,YAL056W,0,+,97,2466,2643,4.906817599,not_preferential,
XIII,171593,172901,YML051W,0,+,48,1297,1308,4.90635351,not_preferential,
XIV,485606,486479,YNL075W,0,+,32,873,873,4.900733403,not_preferential,
XII,349005,363738,YLR106C,0,-,540,13444,14733,4.900359187,not_preferential,
XI,653079,656736,YKR103W,0,+,134,3405,3657,4.898974526,not_preferential,
VII,393985,394504,YGL058W,0,+,19,519,519,4.894536666,not_preferential,
XII,868661,871367,YLR373C,0,-,99,2678,2706,4.891395115,not_preferential,
IV,301412,302234,YDL086W,0,+,30,822,822,4.87949391,not_preferential,
XI,74931,75534,YKL196C,0,-,22,584,603,4.877875505,not_preferential,
IV,217599,218367,YDL136W,0,+,28,725,768,4.874411104,not_preferential,
XI,611524,612265,YKR091W,0,+,27,77,741,4.871591896,not_preferential,
IV,198661,199732,YDL144C,0,-,39,1071,1071,4.86855947,not_preferential,
XII,760749,762342,YLR313C,0,-,58,1593,1593,4.867854189,not_preferential,
XV,446078,446738,YOR064C,0,-,24,660,660,4.861750296,not_preferential,
XV,903042,903372,YOR314W,0,+,12,330,330,4.861750296,not_preferential,
XVI,674860,675631,YPR060C,0,-,28,771,771,4.855444524,not_preferential,
VII,728045,729671,YGR119C,0,-,59,1579,1626,4.851285274,not_preferential,
II,166133,167264,YBL029W,0,+,41,1056,1131,4.846705092,not_preferential,
XV,502794,503346,YOR094W,0,+,20,489,552,4.844135259,not_preferential,
XV,126981,127920,YOL101C,0,-,34,882,939,4.841039965,not_preferential,
XI,421423,425875,YKL010C,0,-,161,4312,4452,4.834995381,not_preferential,
XVI,679692,680799,YPR065W,0,+,40,1087,1107,4.831007521,not_preferential,
XVI,922908,923379,YPR193C,0,-,17,471,471,4.82562264,not_preferential,
IV,38486,38597,YDL232W,0,+,4,111,111,4.817950744,not_preferential,
VII,853674,854895,YGR179C,0,-,44,1215,1221,4.817950744,not_preferential,
II,742159,742576,YBR269C,0,-,15,417,417,4.809285365,not_preferential,
XI,14484,15708,YKL219W,0,+,44,1179,1224,4.806142041,not_preferential,
XIII,160022,160412,YML057C-A,0,-,14,369,390,4.799420164,not_preferential,
XIII,478063,478258,YMR105W-A,0,+,7,195,195,4.799420164,not_preferential,
XIV,351385,351580,YNL146C-A,0,-,7,195,195,4.799420164,not_preferential,
VIII,225524,227141,YHR064C,0,-,58,1542,1617,4.795604034,not_preferential,
II,245905,246547,YBR005W,0,+,23,642,642,4.789808508,not_preferential,
II,776570,777854,YBR287W,0,+,46,1284,1284,4.789808508,not_preferential,
XIV,654672,661374,YNR016C,0,-,240,6161,6702,4.787757678,not_preferential,
VIII,493895,496187,YHR197W,0,+,82,2219,2292,4.783266544,not_preferential,
III,301270,302221,YCR100C,0,-,34,951,951,4.779954287,not_preferential,
VII,616327,617278,YGR062C,0,-,34,882,951,4.779954287,not_preferential,
IV,142096,144223,YDL176W,0,+,76,2127,2127,4.777178241,not_preferential,
III,110807,111675,YCL002C,0,-,31,868,868,4.774933327,not_preferential,
IV,1512093,1513605,YDR539W,0,+,54,1512,1512,4.774933327,not_preferential,
VIII,537758,538094,YHR212C,0,-,12,336,336,4.774933327,not_preferential,
XI,185956,186292,YKL137W,0,+,12,336,336,4.774933327,not_preferential,
XI,228463,228799,YKL111C,0,-,12,336,336,4.774933327,not_preferential,
VI,134520,137157,YFL003C,0,-,94,2480,2637,4.765879604,not_preferential,
XII,546096,547611,YLR197W,0,+,54,1514,1515,4.765478013,not_preferential,
XI,362621,364193,YKL039W,0,+,56,1544,1572,4.762783369,not_preferential,
XII,164391,165402,YLR007W,0,+,36,1011,1011,4.760764385,not_preferential,
XIII,38195,39824,YML116W,0,+,58,1527,1629,4.7602773,not_preferential,
XI,214141,216700,YKL121W,0,+,91,2417,2559,4.754408017,not_preferential,
VII,1007670,1010766,YGR258C,0,-,110,3065,3096,4.750256669,not_preferential,
IV,1258695,1259709,YDR392W,0,+,36,1014,1014,4.746679283,not_preferential,
VIII,413684,417179,YHR158C,0,-,124,3418,3495,4.743510303,not_preferential,
IV,1337351,1337774,YDR437W,0,+,15,423,423,4.741068551,not_preferential,
V,166236,166885,YER007C-A,0,-,23,649,649,4.738146475,not_preferential,
XV,901857,902874,YOR313C,0,-,36,1008,1017,4.73267728,not_preferential,
